age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y,year,previous_cat,campaign_cat
33,2,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
55,7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
50,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
38,3,1,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
49,10,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,1,2008,1,1
38,5,2,6,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
31,3,3,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,7,1,3,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
39,3,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
49,5,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,1,2008,1,1
34,3,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
35,3,1,6,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
57,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
60,3,1,6,1,1,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
33,8,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,3,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,2,1,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,7,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
53,3,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,5,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,4,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,2,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
49,4,1,1,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
54,2,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,3,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,3,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,2,2,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,1,1,3,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
35,3,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
42,10,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,5,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
60,6,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
58,8,1,1,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
35,2,3,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,4,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
37,7,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
36,4,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,3,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
57,4,3,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
48,4,3,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,4,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
49,4,3,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,5,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
32,3,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,3,1,6,1,1,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
50,3,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
31,5,3,5,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,6,1,1,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
41,5,1,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,1,2008,1,1
37,4,1,3,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,5,1,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,4,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,7,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,7,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,1,1,1,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
56,4,1,1,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
34,2,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
45,4,1,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,1,2008,1,1
43,8,2,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
53,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
38,3,3,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,3,2,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
60,4,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,10,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,2,3,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,10,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,4,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,4,1,4,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,4,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,4,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,5,2,5,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
59,2,1,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
24,7,2,6,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
37,4,2,4,1,2,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
40,4,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,4,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
39,2,3,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,10,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
38,2,1,2,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,3,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
40,4,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
54,7,3,6,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,4,1,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
45,5,1,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,3,2,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,2,1,2,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
46,7,1,4,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
44,2,1,2,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,3,2,3,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
28,2,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,4,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,5,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
46,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,4,1,4,1,2,2,1,1,2,0,1.1,93.994,-36.4,4.857,1,2008,1,2
36,3,1,6,1,2,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
54,4,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,7,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,5,1,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
54,6,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
49,4,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,3,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,5,1,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
38,4,2,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
45,7,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
42,5,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
34,4,2,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
48,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
37,3,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,4,2,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,3,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,4,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,2,1,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
32,2,2,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,4,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,4,1,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,11,2,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,11,2,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,8,1,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,2,2,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
35,11,2,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,11,2,4,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,1,3,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
59,3,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
57,6,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
39,4,1,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,1,1,1,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
30,4,2,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
30,4,2,6,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
50,1,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,2,1,2,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
35,3,1,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,5,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
36,2,2,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
46,5,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,5,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
58,6,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,5,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
35,3,2,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,6,1,1,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
45,4,1,1,1,2,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
39,3,1,5,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
50,2,3,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
32,7,3,1,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
39,3,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
52,9,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
44,3,1,5,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
56,4,1,1,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
48,3,1,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
33,2,1,2,1,1,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
43,7,1,6,1,1,2,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
57,6,1,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
36,5,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,7,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,2,2,4,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
30,5,1,6,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,2,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
32,5,2,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,5,2,2,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
36,4,2,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,2,2,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
40,5,3,5,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
41,4,1,1,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
51,2,1,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
36,5,1,5,1,2,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
28,2,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
53,2,1,2,1,2,2,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
58,4,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
45,7,1,4,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,5,1,6,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,3,1,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
33,3,1,2,1,1,2,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
27,4,2,3,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
42,5,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
43,3,3,4,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
42,3,1,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
27,4,2,3,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,9,2,6,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
31,11,2,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
54,7,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
40,9,1,1,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
52,8,1,2,1,2,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
47,7,3,6,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
49,1,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
32,3,2,2,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
49,1,2,2,1,2,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
50,4,1,4,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
34,2,1,2,1,1,1,1,1,1,0,1.1,93.994,-36.4,4.857,0,2008,1,1
55,4,1,1,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
47,5,2,4,1,1,1,1,1,4,0,1.1,93.994,-36.4,4.857,0,2008,1,4
51,6,1,5,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
47,4,1,3,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
56,5,1,1,1,2,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
53,3,1,4,1,1,1,1,1,3,0,1.1,93.994,-36.4,4.857,0,2008,1,3
36,4,1,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
42,4,3,4,1,2,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
44,4,3,3,1,1,1,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
39,1,1,4,1,2,1,1,1,3,0,1.1,93.994,-36.4,4.857,1,2008,1,3
37,3,2,2,1,2,2,1,1,2,0,1.1,93.994,-36.4,4.857,0,2008,1,2
